frameNumber,"TDEP, 0.1 in","CVEL, m/h","TENS, lbf","CS, m/h" 
2061,1144910.0,-704.2642211914062,4766.0,704.2642211914062
2062,1144900.0,-704.0880737304688,4794.0,704.0880737304688
2063,1144890.0,-704.0880737304688,4794.0,704.0880737304688
2064,1144880.0,-708.6600341796875,4794.0,708.6600341796875
2065,1144870.0,-713.4102783203125,4815.0,713.4102783203125
2066,1144860.0,-713.4102783203125,4815.0,713.4102783203125
2067,1144850.0,-713.2320556640625,4796.0,713.2320556640625
2068,1144840.0,-713.2320556640625,4796.0,713.2320556640625
2069,1144830.0,-713.2320556640625,4796.0,713.2320556640625
2070,1144820.0,-713.4102783203125,4810.00048828125,713.4102783203125
2071,1144810.0,-713.4105834960938,4843.0,713.4105834960938
2072,1144800.0,-713.4105834960938,4843.0,713.4105834960938
2073,1144790.0,-708.6600341796875,4843.0,708.6600341796875
2074,1144780.0,-704.0878295898438,4826.0,704.0878295898438
2075,1144770.0,-704.2640380859375,4834.0,704.2640380859375
2076,1144760.0,-713.2320556640625,4834.0,713.2320556640625
2077,1144750.0,-713.2320556640625,4869.0,713.2320556640625
2078,1144740.0,-713.4102783203125,4854.0,713.4102783203125
2079,1144730.0,-710.9459228515625,4821.0,710.9459228515625
2080,1144720.0,-713.4102783203125,4706.00048828125,713.4102783203125
2081,1144710.0,-717.8040771484375,4658.5,717.8040771484375
2082,1144700.0,-720.1802978515625,4521.0,720.1802978515625
2083,1144690.0,-713.2318115234375,4488.0,713.2318115234375
2084,1144680.0,-713.2320556640625,4489.0,713.2320556640625
2085,1144670.0,-713.2320556640625,4469.00048828125,713.2320556640625
2086,1144660.0,-713.4102783203125,4507.0,713.4102783203125
2087,1144650.0,-708.6598510742188,4507.0,708.6598510742188
2088,1144640.0,-713.2320556640625,4601.0,713.2320556640625
2089,1144630.0,-713.4105834960938,4601.0,713.4105834960938
2090,1144620.0,-708.6600341796875,4635.0,708.6600341796875
2091,1144610.0,-713.321044921875,4632.5,713.321044921875
2092,1144600.0,-709.8030395507812,4690.25048828125,709.8030395507812
2093,1144590.0,-708.6912231445312,4711.76513671875,708.6912231445312
2094,1144580.0,-706.90185546875,4781.7998046875,706.90185546875
2095,1144570.0,-703.8768920898438,4882.06689453125,703.8768920898438
2096,1144560.0,-704.7664794921875,4922.857421875,704.7664794921875
2097,1144550.0,-704.176025390625,4928.0,704.176025390625
2098,1144540.0,-708.7486572265625,4963.0,708.7486572265625
2099,1144530.0,-703.912109375,5023.5,703.912109375
2100,1144520.0,-704.0878295898438,5024.0,704.0878295898438
2101,1144510.0,-706.4620361328125,5008.00048828125,706.4620361328125
2102,1144500.0,-708.7486572265625,5012.00048828125,708.7486572265625
2103,1144490.0,-704.0879516601562,5022.0,704.0879516601562
2104,1144480.0,-704.2640380859375,5039.00048828125,704.2640380859375
2105,1144470.0,-708.8372192382812,5010.0,708.8372192382812
2106,1144460.0,-710.8564453125,4979.5,710.8564453125
2107,1144450.0,-704.2640380859375,4906.0,704.2640380859375
2108,1144440.0,-704.0878295898438,4906.0,704.0878295898438
2109,1144430.0,-703.9121704101562,4872.0,703.9121704101562
2110,1144420.0,-704.2640380859375,4826.0,704.2640380859375
2111,1144410.0,-708.4828491210938,4826.0,708.4828491210938
2112,1144400.0,-708.4828491210938,4826.0,708.4828491210938
2113,1144390.0,-708.6600341796875,4842.0,708.6600341796875
2114,1144380.0,-708.8372192382812,4869.0,708.8372192382812
2115,1144370.0,-708.8372192382812,4869.0,708.8372192382812
2116,1144360.0,-708.8372192382812,4869.0,708.8372192382812
2117,1144350.0,-704.0878295898438,4859.0,704.0878295898438
2118,1144340.0,-708.8372192382812,4832.0,708.8372192382812
2119,1144330.0,-708.8372192382812,4832.0,708.8372192382812
2120,1144320.0,-708.6600341796875,4832.0,708.6600341796875
2121,1144310.0,-708.6600341796875,4842.0,708.6600341796875
2122,1144300.0,-708.6600341796875,4842.0,708.6600341796875
2123,1144290.0,-708.8372192382812,4857.00048828125,708.8372192382812
2124,1144280.0,-708.6598510742188,4857.00048828125,708.6598510742188
2125,1144270.0,-708.6600341796875,4831.0,708.6600341796875
2126,1144260.0,-708.6600341796875,4831.0,708.6600341796875
2127,1144250.0,-704.0880737304688,4831.0,704.0880737304688
2128,1144240.0,-708.6600341796875,4806.00048828125,708.6600341796875
