frameNumber,"TIME, ms","TDEP, 0.1 in","TENS_SL, lbf","DEPT_SL, 0.1 in"
348,17024260.0,857466.1875,1858.0,857466.0
349,17025260.0,857603.8125,1864.0,857598.0
350,17026260.0,857738.0,1894.0,857734.0
351,17027260.0,857873.8125,1889.0,857872.0
352,17028260.0,858011.75,1883.0,858009.0
353,17029260.0,858147.0,1873.0,858147.0
354,17030260.0,858282.8125,1867.0,858277.0
355,17031260.0,858419.5,1888.0,858414.0
356,17032260.0,858555.0,1868.0,858551.0
357,17033260.0,858691.8125,1879.0,858690.0
358,17034260.0,858828.5,1871.0,858826.0
359,17035260.0,858964.0,1878.0,858964.0
360,17036260.0,859100.5,1865.0,859094.0
361,17037260.0,859237.1875,1880.0,859232.0
362,17038260.0,859372.0,1900.0,859368.0
363,17039260.0,859508.5,1878.0,859507.0
364,17040260.0,859645.25,1884.0,859643.0
365,17041260.0,859782.0,1849.0,859782.0
366,17042260.0,859916.1875,1865.0,859911.0
367,17043260.0,860052.8125,1908.0,860049.0
368,17044260.0,860190.0,1868.0,860185.0
369,17045260.0,860325.1875,1880.0,860324.0
370,17046260.0,860461.75,1888.0,860459.0
371,17047260.0,860598.0,1879.0,860598.0
372,17048260.0,860734.1875,1889.0,860728.0
373,17049260.0,860870.75,1883.0,860866.0
374,17050260.0,861007.0,1861.0,861002.0
375,17051260.0,861143.0,1888.0,861141.0
376,17052260.0,861278.8125,1883.0,861277.0
377,17053260.0,861415.0,1841.0,861415.0
378,17054260.0,861551.0,1891.0,861544.0
379,17055260.0,861685.5,1864.0,861682.0
380,17056260.0,861824.0,1878.0,861819.0
381,17057260.0,861960.0,1871.0,861957.0
382,17058260.0,862094.5,1880.0,862093.0
383,17059260.0,862230.8125,1887.0,862225.0
384,17060260.0,862368.0,1864.0,862361.0
385,17061260.0,862503.1875,1877.0,862499.0
386,17062260.0,862639.8125,1871.0,862636.0
387,17063260.0,862776.0,1860.0,862774.0
388,17064260.0,862911.1875,1870.0,862910.0
389,17065260.0,863047.8125,1877.0,863041.0
390,17066260.0,863184.0,1895.0,863177.0
391,17067260.0,863319.1875,1864.0,863316.0
392,17068260.0,863456.8125,1906.0,863452.0
393,17069260.0,863593.0,1883.0,863591.0
394,17070260.0,863727.25,1847.0,863726.0
395,17071260.0,863864.5,1858.0,863858.0
396,17072260.0,864002.0,1865.0,863995.0
397,17073260.0,864136.25,1878.0,864133.0
398,17074260.0,864272.5,1912.0,864269.0
399,17075260.0,864409.0,1904.0,864407.0
400,17076260.0,864543.5,1888.0,864543.0
401,17077260.0,864680.1875,1905.0,864674.0
402,17078260.0,864816.8125,1883.0,864810.0
403,17079260.0,864951.5,1882.0,864949.0
404,17080260.0,865089.75,1887.0,865086.0
405,17081260.0,865225.8125,1899.0,865224.0
406,17082260.0,865360.5,1933.0,865360.0
407,17083260.0,865497.1875,1871.0,865492.0
408,17084260.0,865634.8125,1882.0,865628.0
409,17085260.0,865768.5,1900.0,865766.0
410,17086260.0,865905.1875,1886.0,865902.0
411,17087260.0,866042.25,1891.0,866040.0
412,17088260.0,866177.1875,1893.0,866177.0
413,17089260.0,866314.25,1893.0,866309.0
414,17090260.0,866451.25,1938.0,866445.0
415,17091260.0,866585.25,1900.0,866583.0
416,17092260.0,866722.8125,1878.0,866720.0
417,17093260.0,866859.75,1901.0,866858.0
418,17094260.0,866994.0,1876.0,866990.0
419,17095260.0,867131.5,1874.0,867126.0
420,17096260.0,867269.1875,1876.0,867263.0
421,17097260.0,867403.0,1852.0,867400.0
422,17098260.0,867539.5,1909.0,867536.0
423,17099260.0,867676.1875,1903.0,867675.0
424,17100260.0,867812.0,1873.0,867807.0
425,17101260.0,867949.75,1888.0,867945.0
426,17102260.0,868088.1875,1873.0,868084.0
427,17103260.0,868224.0,1886.0,868222.0
428,17104260.0,868362.1875,1870.0,868362.0
429,17105260.0,868499.8125,1879.0,868499.0
430,17106260.0,868635.0,1891.0,868630.0
431,17107260.0,868772.1875,1891.0,868768.0
432,17108260.0,868909.8125,1891.0,868907.0
433,17109260.0,869045.0,1859.0,869043.0
434,17110260.0,869182.0,1868.0,869182.0
435,17111260.0,869319.75,1874.0,869319.0
436,17112260.0,869455.1875,1856.0,869449.0
437,17113260.0,869587.0,1859.0,869582.0
438,17114260.0,869720.5,1848.0,869718.0
439,17115260.0,869855.1875,1858.0,869852.0
440,17116260.0,869987.0,1868.0,869987.0
441,17117260.0,870120.75,1909.0,870120.0
442,17118260.0,870255.1875,1912.0,870249.0
443,17119260.0,870387.0,1896.0,870383.0
444,17120260.0,870521.1875,1895.0,870518.0
445,17121260.0,870654.8125,1886.0,870651.0
446,17122260.0,870787.0,1909.0,870787.0
447,17123260.0,870921.1875,1879.0,870921.0
448,17124260.0,871054.8125,1877.0,871049.0
449,17125260.0,871187.0,1903.0,871182.0
450,17126260.0,871320.25,1879.0,871318.0
451,17127260.0,871454.5,1889.0,871452.0
452,17128260.0,871587.0,1868.0,871587.0
453,17129260.0,871719.8125,1888.0,871713.0
454,17130260.0,871853.5,1910.0,871848.0
455,17131260.0,871986.0,1885.0,871982.0
456,17132260.0,872118.8125,1901.0,872117.0
457,17133260.0,872252.5,1861.0,872250.0
458,17134260.0,872386.0,1893.0,872386.0
459,17135260.0,872518.8125,1908.0,872513.0
460,17136260.0,872652.5,1876.0,872648.0
461,17137260.0,872785.0,1873.0,872781.0
462,17138260.0,872917.5,1870.0,872916.0
463,17139260.0,873051.1875,1913.0,873049.0
464,17140260.0,873184.0,1893.0,873184.0
465,17141260.0,873316.5,1909.0,873310.0
466,17142260.0,873450.25,1928.0,873446.0
467,17143260.0,873585.0,1903.0,873580.0
468,17144260.0,873716.1875,1880.0,873715.0
469,17145260.0,873849.8125,1891.0,873848.0
470,17146260.0,873984.0,1878.0,873984.0
471,17147260.0,874116.1875,1906.0,874110.0
472,17148260.0,874249.8125,1886.0,874245.0
473,17149260.0,874383.0,1885.0,874379.0
474,17150260.0,874515.75,1900.0,874514.0
475,17151260.0,874649.8125,1891.0,874648.0
476,17152260.0,874783.0,1901.0,874783.0
477,17153260.0,874915.1875,1887.0,874909.0
478,17154260.0,875049.25,1901.0,875045.0
479,17155260.0,875183.0,1905.0,875179.0
480,17156260.0,875314.8125,1902.0,875314.0
481,17157260.0,875448.5,1910.0,875447.0
482,17158260.0,875583.0,1883.0,875583.0
483,17159260.0,875715.8125,1884.0,875710.0
484,17160260.0,875849.1875,1912.0,875846.0
485,17161260.0,875982.8125,1882.0,875979.0
486,17162260.0,876114.5,1879.0,876114.0
487,17163260.0,876248.1875,1873.0,876247.0
488,17164260.0,876382.75,1887.0,876376.0
489,17165260.0,876514.5,1892.0,876509.0
490,17166260.0,876648.75,1887.0,876645.0
491,17167260.0,876782.8125,1900.0,876779.0
492,17168260.0,876916.0,1927.0,876914.0
493,17169260.0,877049.1875,1908.0,877048.0
494,17170260.0,877183.75,1902.0,877177.0
495,17171260.0,877316.0,1876.0,877309.0
496,17172260.0,877447.8125,1924.0,877445.0
497,17173260.0,877582.5,1909.0,877578.0
498,17174260.0,877716.0,1889.0,877714.0
499,17175260.0,877847.8125,1901.0,877847.0
500,17176260.0,877982.25,1924.0,877976.0
501,17177260.0,878115.75,1921.0,878109.0
502,17178260.0,878247.5,1899.0,878245.0
503,17179260.0,878381.1875,1915.0,878378.0
504,17180260.0,878515.75,1945.0,878513.0
505,17181260.0,878647.5,1921.0,878647.0
506,17182260.0,878782.1875,1927.0,878777.0
507,17183260.0,878915.8125,1910.0,878910.0
508,17184260.0,879047.5,1908.0,879045.0
509,17185260.0,879181.1875,1903.0,879178.0
510,17186260.0,879315.75,1889.0,879313.0
511,17187260.0,879447.5,1899.0,879447.0
512,17188260.0,879580.8125,1920.0,879576.0
513,17189260.0,879714.5,1913.0,879709.0
514,17190260.0,879847.1875,1932.0,879845.0
515,17191260.0,879981.8125,1911.0,879978.0
516,17192260.0,880115.5,1905.0,880114.0
517,17193260.0,880247.1875,1910.0,880247.0
518,17194260.0,880380.75,1914.0,880376.0
519,17195260.0,880514.1875,1905.0,880508.0
520,17196260.0,880646.0,1921.0,880644.0
521,17197260.0,880779.5,1932.0,880777.0
522,17198260.0,880913.75,1923.0,880912.0
523,17199260.0,881046.0,1902.0,881039.0
524,17200260.0,881178.75,1909.0,881174.0
525,17201260.0,881312.1875,1915.0,881309.0
526,17202260.0,881445.0,1915.0,881443.0
527,17203260.0,881577.5,1927.0,881575.0
528,17204260.0,881711.1875,1928.0,881710.0
529,17205260.0,881843.0,1913.0,881837.0
530,17206260.0,881976.25,1920.0,881972.0
531,17207260.0,882109.8125,1924.0,882107.0
532,17208260.0,882242.0,1911.0,882240.0
533,17209260.0,882375.1875,1921.0,882373.0
534,17210260.0,882509.25,1904.0,882508.0
535,17211260.0,882641.0,1918.0,882634.0
536,17212260.0,882774.0,1901.0,882770.0
537,17213260.0,882907.5,1899.0,882905.0
538,17214260.0,883041.0,1924.0,883039.0
539,17215260.0,883174.0,1912.0,883174.0
540,17216260.0,883307.5,1915.0,883307.0
541,17217260.0,883439.0,1928.0,883435.0
542,17218260.0,883572.8125,1920.0,883568.0
543,17219260.0,883706.5,1908.0,883703.0
544,17220260.0,883839.0,1910.0,883837.0
545,17221260.0,883971.5625,1904.0,883970.0
546,17222260.0,884106.1875,1930.0,884106.0
547,17223260.0,884239.0,1933.0,884233.0
548,17224260.0,884372.0,1944.0,884368.0
549,17225260.0,884506.1875,1926.0,884504.0
550,17226260.0,884639.0,1945.0,884637.0
551,17227260.0,884772.0,1900.0,884772.0
552,17228260.0,884904.8125,1933.0,884898.0
553,17229260.0,885039.0,1920.0,885034.0
554,17230260.0,885172.0,1932.0,885168.0
555,17231260.0,885304.8125,1923.0,885303.0
556,17232260.0,885439.5,1936.0,885437.0
557,17233260.0,885572.0,1942.0,885572.0
558,17234260.0,885705.8125,1933.0,885699.0
559,17235260.0,885839.5,1927.0,885835.0
560,17236260.0,885972.0,1930.0,885968.0
561,17237260.0,886105.8125,1924.0,886104.0
562,17238260.0,886240.1875,1921.0,886237.0
563,17239260.0,886372.0,1902.0,886372.0
564,17240260.0,886504.5,1930.0,886499.0
565,17241260.0,886639.1875,1918.0,886635.0
566,17242260.0,886773.0,1938.0,886768.0
567,17243260.0,886905.5,1926.0,886904.0
568,17244260.0,887038.875,1915.0,887037.0
569,17245260.0,887173.0,1915.0,887173.0
570,17246260.0,887306.1875,1923.0,887300.0
571,17247260.0,887439.8125,1924.0,887436.0
572,17248260.0,887573.0,1928.0,887568.0
573,17249260.0,887705.1875,1948.0,887704.0
574,17250260.0,887838.8125,1932.0,887837.0
575,17251260.0,887972.0,1932.0,887972.0
576,17252260.0,888104.75,1909.0,888099.0
577,17253260.0,888238.8125,1929.0,888235.0
578,17254260.0,888372.0,1929.0,888368.0
579,17255260.0,888503.8125,1915.0,888503.0
580,17256260.0,888638.5,1932.0,888637.0
581,17257260.0,888772.0,1953.0,888772.0
582,17258260.0,888904.25,1948.0,888899.0
583,17259260.0,889037.5,1956.0,889034.0
584,17260260.0,889171.0,1933.0,889167.0
585,17261260.0,889302.75,1923.0,889302.0
586,17262260.0,889437.1875,1912.0,889436.0
587,17263260.0,889570.8125,1917.0,889564.0
588,17264260.0,889702.5,1897.0,889697.0
589,17265260.0,889836.1875,1928.0,889833.0
590,17266260.0,889969.8125,1937.0,889966.0
591,17267260.0,890102.5,1944.0,890102.0
592,17268260.0,890236.1875,1939.0,890235.0
593,17269260.0,890369.8125,1911.0,890363.0
594,17270260.0,890501.75,1914.0,890497.0
